Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name,album,cleaned_lyrics,position
hungover on a tuesday,0.02,0.21,0.05,0.32,0.21,0.21,Angry,Dredg,Catch Without Arms,its time for a cleansing nice try but you cant avoid this forever you know it makes you feel good feeding on your soul youll search for a cure youll want to be sure you dont lose control youll want to be sure that this is really you so long since i can even remember its time for renewal you know that you wont have fun after you know it makes you feel good feeding on your soul youll search for a cure youll want to be sure you dont lose control youll want to be sure that this is really you fell towards the fire but shielded myself from sin things are looking brighter this is the way i want to live you might also likeso long to the hurt and stormy weather its time for a cleansing nice try but you cant control me forever feeding on your soul youll search for a cure youll want to be sure you dont lose control ill always be sure youll want to be sure so long to the end youll always be there but you are gone to me,11
quotes,0.03,0,0.12,0.25,0.12,0.5,Angry,Dredg,"The Pariah, the Parrot, the Delusion",theres a way a way to get out of here to escape these storms and find some shelter to rid of your darkness to rid of your boredom theres somewhere somewhere that you can go its obvious well its apparent its right in front of you so reach out and take it  and just let go our sobriety will diminish discriminate we fade slow fade slow these drugs will expand us united we will grow let go let go  theres a way a way to squash all of your fears when everyone around you seems to be a stranger you feel their eyes upon you youre hearing their thoughts as they walk away their voice grows louder illusions illuminate while your delusions dictate your next move youre bound by deception and a misled direction you might also like so just let go our sobriety will diminish discriminate we fade slow fade slow these drugs will expand us united we will grow let go let go  theres a way a way out of here theres a way a way out of here  so just let go our sobriety will diminish discriminate we fade slow fade slow these drugs will expand us united we will grow let go let go,12
scissor lock,0.04,0.03,0.03,0.31,0.07,0.55,Angry,Dredg,El Cielo,im awake rolling on my blanket im sinking into bed light around me beautiful washes of pulsating color buzzing white noise it sounds like one hundred bees i too once thought the radio played lets act like children while we sleep paralyzed i too once thought the radio played lets act like children while we sleep paralyzed lucid you control it bodys asleep and your mind is awake i too once thought the radio played lets act like children while we sleep paralyzed i too once thought the radio played lets act like children while we sleep paralyzed you might also likei too once thought the radio played lets act like children i too once thought the radio played lets act like children while we sleep paralyzed i too once thought the radio played lets act like children while we sleep paralyzed,13
convalescent,0,0.09,0.09,0.27,0.18,0.36,Fear,Dredg,El Cielo,resting gray hairs on wrinkled arms with nothing but a stool to hold up his back skinny legs with japanese mileage crossed at the ankles hes unaware maybe youve never seen it maybe youve never been through it its the only way to understand it unaware of his surroundings youth it passed swarming like wolves to a fresh kill the scent attracts hes just scared about dying maybe youve never seen it maybe youve never been through it its the only way to understand it save your clever statements brave your severed view of it its the only way to understand it to believe that to think back to realize that those sad days have come to an end where are those where they all have been gone you might also likemaybe youve never seen it maybe youve never been through it its the only way to understand it save your clever statements brave yourself if you want in its the only way to understand it to understand it,1
running through propellers,0,0.15,0.06,0.12,0.18,0.5,Fear,Dredg,NA,to a raging party for us all wear top hats and glass masks to cover you wear dark slacks with tail flaps urging you to just free your mind of it all youre invited yea cordially invited to a raging party wear tight pants with cuffs pressed to cover you painted eyes show your whites urging you to just free your mind relieve your self of it all youre invited yea cordially invited with insurance been molding with monotonyyou deserve it with insurance we were running running running waiting for it all free your mind relieve your self of it all youre invited cordially invited youre invited cordially invitedyou might also like,2
the papal insignia,0.01,0.04,0.39,0.04,0.14,0.39,Fear,Dredg,NA,sky piercing towers portray its power speckles of residence unveil its essence leaving me within these walls walk these timeless halls walk these timeless halls within these walls hearts colliding senseless hiding generic cowards confine its power oceans smiling breathing softly with hands providing breathing slowly nurturing flowers pollinate the hour speckles of residence unveil its essence leaving me within these walls acquire acceptance confines its essence leaving me within these walls snap back and subtract recoil and retract feeding the flame snap back and subtract recoil and retract paving the way  speckles of residence unveil its essence leaving me within these walls acquire acceptance confines its essence leaving me within these walls you might also likesnap back and subtract recoil and retract feeding the flame snap back and subtract recoil and retract paving the way,3
information,0.01,0.02,0.05,0.4,0.21,0.31,Fear,Dredg,"The Pariah, the Parrot, the Delusion",youre suffering i feel your pain allow me to be your sponge cause i can absorb your sorrows im the one fire may rain down on you but ill be your water waves may crash on you but ill be your land cause i want to give you just a temporary bliss  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it  so shed your pain well ill sit in silence as you bleed your deepest feelings here feelings here quakes may rattle you but ill be your sky sky winds may twist around you but ill be your clouds  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it no i dont need it you might also like he woke up next to her his head against her head his hand upon her breast he knew today meant death he kissed her on the cheek and then on her lips thought to himself: its the last time ill do this put on a suit pressed and clean then brushed his hair grabbed his keys then he headed out to the morning air with an anticipation no man could bear  the air was heavy he could feel it in his lungs with every step he took a prayer rolled off his tongue they were prayers of forgiveness and prayers of praise and his actions a gift for a god without a name  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it no i dont need it,4
eighteen people living in harmony,0.01,0.08,0,0.44,0.16,0.32,Fear,Dredg,El Cielo,singers have all gone home seats are all empty the kitchen is closed the sidewalks are sprayed down the blinds are pulled down foundations unstable the wrecking ball is back quiet business vacancy quiet business vacancy rents are rising our lease is up culture is down the symphonys concluded the instruments are all cased up the notes are silent musics still apparent rents are rising our lease is up culture is down spirits are jaded you might also likeart is trying is art dead art is dying is it dead believe it we need it to move on a one track mind in a one way time lets go ahead and gentrify we let art die with robot minds they steal the brush and paint boundary lines a stale kind of people well find walking in single file line i think its time to finally rewind lets go ahead we might as well rents are rising our lease is up culture is down spirits are jaded,5
the tanbark is hot lava,0,0,0.35,0.3,0.04,0.3,Fear,Dredg,Catch Without Arms,while the new can bore cause youre the one who fell into a self created hell weve worn it out it took time to realize its a chore to recognize what your world could take its overgrown take it all away now real soon well take this all the way down the old returns while the new can bore cause youre the one who fell into a self created hell there is no way out when you build a stubborn shell that shields from any help weve worn it out you tried to maximize but it came as no surprise you hurled a stake to your own dome you might also liketake it all away now real soon well take this all the way down please dont go stay the old returns while the new can bore cause youre the one who fell into a self created hell there is no way out when you build a stubborn shell that shields from any help the old returns while the new can bore cause youre the one who fell into a self created hell take it all away now there is no way out there is no way out when you build a stubborn shell that shields from any help weve worn it out weve worn it out,6
ode to the sun,0,0.08,0.12,0.32,0.12,0.36,Fear,Dredg,Catch Without Arms,but ill move those clouds away letting the sun shine through in this ode to you let the demons have their place if so its angels youll create and disguised within the dark light will wait my heart i owe you my soul will you please accept please accept this honor this is all for you transcend we flip towards the sun wheels skidding on the road a flowing sea of red the whole city groans my heart i owe you my soul you might also likewill you please accept please accept this honor this is all for you transcend will you please accept please accept its over this is all for you transcend fiasco rubberneck passing motorists a mangled tuna can car rests repair this tattered skin hold it in your hand youve already glistened through the window youve already set us all free free please accept please accept this honor this is all for you transcend will you please accept please accept its over this is all for you transcend fiasco,7
stamp of origin: ocean meets bay,0.03,0,0,0.33,0.33,0.33,Fear,Dredg,"The Pariah, the Parrot, the Delusion",i am not the one to blame we are all part of the problem damper your complaints we are all were all to blameyou might also like,8
spitshine,0,0,0.36,0.2,0.12,0.32,Fear,Dredg,Catch Without Arms,that haunted those before us preaching symphonies while the chorus yelled: unity its based on facts its based on facts you spit shined my corroded halo then packaged it away you spit shined my corroded halo then left it to decay will you watch your step the boring storys left youre feeling lost in here she said come in here the pain wont last you spit shined my corroded halo then packaged it away you spit shined my corroded halo then left it to decay take this weight off my shoulders and move it to my brain you spit shined my corroded halo then packaged it away you spit shined my corroded halo then left it to decayyou might also like,9
whoa is me,0.03,0,0.04,0.52,0.16,0.28,Fear,Dredg,El Cielo,are the circular memories infect your conscience they are the make up of your worries regrets and doubts elective betrayal of your person radiates confidence shine with silence and shadow the ones below this drought is leaving me with cracked soil and brown leaves floating on a dry lake bed with a dry mouth and a foggy head waiting for the snow when the water comes i will overflow i will overflow and when the water comes i will overflow theres one more thing i forgot to tell you worries and doubts will only help you in the long run youll shadow the ones below you might also likethis drought is leaving me with cracked soil and brown leaves floating on a dry lake bed with a dry mouth and a foggy head waiting for the snow when the water comes i will overflow i will overflow and when the water comes i will overflow,10
sang real,0,0.2,0.07,0.33,0.13,0.27,Fear,Dredg,Catch Without Arms,im the lawyer in the tower im the body with the coroner no the leader with all the power youre the pillow the cool side the sand during high tide the cocktail poolside the water when clouds collide from the inside out we were formed and from the inside out we will fall soon this all will come to an end im a local but a foreigner still the addict yet im sober still the body with the coroner many friends yet still a loner youre the pillow the cool side the sand during high tide the cocktail poolside the water when clouds collide from the inside out we were formed and from the inside out we will fall soon this all will come to an end soon this all will come to an endyou might also like,11
the ornament,0.05,0,0,0.67,0.08,0.25,Fear,Dredg,Chuckles and Mr. Squeezy,ive been aching for someone ive barely met and ive been begging for something ill never get and ive been tracing the footsteps of fallen men hoping to fill this void within  but im here all alone again here all alone again here all alone again hoping to fill this void within within within  well ive been chasing the impossible and ive been floating around this world wondering why im still in orbit choking on the fumes up here choking on the fumes again  but im here all alone again here all alone again here all alone again hoping to fill this void within within within you might also like well ive been aching for someone ive barely met and ive been begging for something ill never get,12
sanzen,0.04,0.31,0.08,0.31,0.08,0.23,Fear,Dredg,El Cielo,i cant even concentrate on this its over thought anticipated the pen ink is running dry its been thrown to paper and wasted creativity has been blocked and over tasted maybe in time ill appreciate it  hold on hold on well be with you soon  these papers are stuck in this book until theyre torn out and pasted to the inside of my memory where i can later look and see them in a new gallery where they can later be viewed and appreciated  hold on hold on well be with you soon well be with you soon  longing for what has been lost longing for what hasnt been obtained its a small cost forgot the past lost the future only now remains you might also like hold on hold on well be with you soon well be with you,13
eighteen people living in harmony,0,0.08,0,0.44,0.16,0.32,Happy,Dredg,El Cielo,singers have all gone home seats are all empty the kitchen is closed the sidewalks are sprayed down the blinds are pulled down foundations unstable the wrecking ball is back quiet business vacancy quiet business vacancy rents are rising our lease is up culture is down the symphonys concluded the instruments are all cased up the notes are silent musics still apparent rents are rising our lease is up culture is down spirits are jaded you might also likeart is trying is art dead art is dying is it dead believe it we need it to move on a one track mind in a one way time lets go ahead and gentrify we let art die with robot minds they steal the brush and paint boundary lines a stale kind of people well find walking in single file line i think its time to finally rewind lets go ahead we might as well rents are rising our lease is up culture is down spirits are jaded,1
same ol' road,0,0.12,0,0.17,0.21,0.5,Happy,Dredg,El Cielo,down that same old road again sympathy unfolds the shell that holds all the beauty within here we go down that same old road again a memory a regret a hope here we go down that same old road again empathy controls the wind that blows and tickles our skin a memory a regret a hope a stimulus recent it seems we must push on we must push on though we bleed we must push on we must push on you might also likeall you need is a modest house in a modest neighborhood in a modest town where honest people dwell making the cleanest energy for the greenest plants to grow the richest soil that is drenched with the freshest rain then you should sit in your backyard watch clouds peak over the tallest mountain tops cause they unveil honest opinions about the stars we must push on we must push on recent it seems we must push on we must push on though we bleed we must push on we must push on all you need is a modest house in a modest neighborhood,2
stamp of origin: take a look around,0,0.08,0.17,0.17,0.25,0.33,Happy,Dredg,"The Pariah, the Parrot, the Delusion",take a look around all things green and brown they are here to stay the people walking by buildings built so high theyll be gone some day a piercing sound so loud takes over the crowd watch them run away objects in the sky blocking all the light total disarray  what a show what a show  take a look around everything youve found will be gone somedayyou might also like,3
information,0,0.02,0.05,0.4,0.21,0.31,Happy,Dredg,"The Pariah, the Parrot, the Delusion",youre suffering i feel your pain allow me to be your sponge cause i can absorb your sorrows im the one fire may rain down on you but ill be your water waves may crash on you but ill be your land cause i want to give you just a temporary bliss  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it  so shed your pain well ill sit in silence as you bleed your deepest feelings here feelings here quakes may rattle you but ill be your sky sky winds may twist around you but ill be your clouds  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it no i dont need it you might also like he woke up next to her his head against her head his hand upon her breast he knew today meant death he kissed her on the cheek and then on her lips thought to himself: its the last time ill do this put on a suit pressed and clean then brushed his hair grabbed his keys then he headed out to the morning air with an anticipation no man could bear  the air was heavy he could feel it in his lungs with every step he took a prayer rolled off his tongue they were prayers of forgiveness and prayers of praise and his actions a gift for a god without a name  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it no i dont need it,4
scissor lock,0.01,0.03,0.03,0.31,0.07,0.55,Happy,Dredg,El Cielo,im awake rolling on my blanket im sinking into bed light around me beautiful washes of pulsating color buzzing white noise it sounds like one hundred bees i too once thought the radio played lets act like children while we sleep paralyzed i too once thought the radio played lets act like children while we sleep paralyzed lucid you control it bodys asleep and your mind is awake i too once thought the radio played lets act like children while we sleep paralyzed i too once thought the radio played lets act like children while we sleep paralyzed you might also likei too once thought the radio played lets act like children i too once thought the radio played lets act like children while we sleep paralyzed i too once thought the radio played lets act like children while we sleep paralyzed,5
stamp of origin: ocean meets bay,0,0,0,0.33,0.33,0.33,Happy,Dredg,"The Pariah, the Parrot, the Delusion",i am not the one to blame we are all part of the problem damper your complaints we are all were all to blameyou might also like,6
quotes,0,0,0.12,0.25,0.12,0.5,Happy,Dredg,"The Pariah, the Parrot, the Delusion",theres a way a way to get out of here to escape these storms and find some shelter to rid of your darkness to rid of your boredom theres somewhere somewhere that you can go its obvious well its apparent its right in front of you so reach out and take it  and just let go our sobriety will diminish discriminate we fade slow fade slow these drugs will expand us united we will grow let go let go  theres a way a way to squash all of your fears when everyone around you seems to be a stranger you feel their eyes upon you youre hearing their thoughts as they walk away their voice grows louder illusions illuminate while your delusions dictate your next move youre bound by deception and a misled direction you might also like so just let go our sobriety will diminish discriminate we fade slow fade slow these drugs will expand us united we will grow let go let go  theres a way a way out of here theres a way a way out of here  so just let go our sobriety will diminish discriminate we fade slow fade slow these drugs will expand us united we will grow let go let go,7
the tanbark is hot lava,0,0,0.35,0.3,0.04,0.3,Happy,Dredg,Catch Without Arms,while the new can bore cause youre the one who fell into a self created hell weve worn it out it took time to realize its a chore to recognize what your world could take its overgrown take it all away now real soon well take this all the way down the old returns while the new can bore cause youre the one who fell into a self created hell there is no way out when you build a stubborn shell that shields from any help weve worn it out you tried to maximize but it came as no surprise you hurled a stake to your own dome you might also liketake it all away now real soon well take this all the way down please dont go stay the old returns while the new can bore cause youre the one who fell into a self created hell there is no way out when you build a stubborn shell that shields from any help the old returns while the new can bore cause youre the one who fell into a self created hell take it all away now there is no way out there is no way out when you build a stubborn shell that shields from any help weve worn it out weve worn it out,8
whoa is me,0,0,0.04,0.52,0.16,0.28,Happy,Dredg,El Cielo,are the circular memories infect your conscience they are the make up of your worries regrets and doubts elective betrayal of your person radiates confidence shine with silence and shadow the ones below this drought is leaving me with cracked soil and brown leaves floating on a dry lake bed with a dry mouth and a foggy head waiting for the snow when the water comes i will overflow i will overflow and when the water comes i will overflow theres one more thing i forgot to tell you worries and doubts will only help you in the long run youll shadow the ones below you might also likethis drought is leaving me with cracked soil and brown leaves floating on a dry lake bed with a dry mouth and a foggy head waiting for the snow when the water comes i will overflow i will overflow and when the water comes i will overflow,9
yatahaze,0,0,0.12,0.25,0.12,0.5,Happy,Dredg,Leitmotif,climbing building us up tearing me down lifted back up we are climbing all of the time drifting right back to the ground building us up tearing me down lifted back up we are climbing all of the time drifting back down to the ground suddenly suddenly suddenly suddenly  questioning and saying our opinions theyre flailing theyre constantly changing our ignorance remaining were hoping and waiting were living but dying while trying to find out my meaning isnt planned out come to the conclusion might as well be an illusion while trying to find out i did nothing but shut outyou might also like,10
pariah,0,0,0.12,0.21,0.21,0.46,Happy,Dredg,"The Pariah, the Parrot, the Delusion",to sacrifice oneself never made sense to me cause life is really the only and last gift weve all received some men waste it in the name of something that you cant see continually defeats the purpose of that something creating  oh delusions arent meant to justify justify the things you do oh delusions never really qualified qualified as an excuse  as he approached the city center with the skyline in view there was nothing left to contemplate he knew he must follow through with the plan certified by faith and the plan written in death at that moment this was it he took his last breath  oh delusions arent meant to justify justify the things you do oh delusions never really qualified qualified as an excuse  no more hiding no more hiding no more blame no more fighting no more fighting no more pain and no more chaos no more chaos no more stress and no more addiction no more addiction no more mess and no more attitudes no more swollen heads no more greed no more feeding from the hand no more whining no more blame it on the man realize its your own faultyou might also like,11
spitshine,0,0,0.36,0.2,0.12,0.32,Happy,Dredg,Catch Without Arms,that haunted those before us preaching symphonies while the chorus yelled: unity its based on facts its based on facts you spit shined my corroded halo then packaged it away you spit shined my corroded halo then left it to decay will you watch your step the boring storys left youre feeling lost in here she said come in here the pain wont last you spit shined my corroded halo then packaged it away you spit shined my corroded halo then left it to decay take this weight off my shoulders and move it to my brain you spit shined my corroded halo then packaged it away you spit shined my corroded halo then left it to decayyou might also like,12
lightswitch,0,0,0.24,0.28,0.08,0.4,Happy,Dredg,"The Pariah, the Parrot, the Delusion",was put in a round room and told to sit in the corner while they washed my brain with a dirty rag was given a hammer and told to build a fortress with walls impossible to penetrate  youre the only thing i need and youve become the only thing that keeps me breathing without you id be in a dark place with no light switch an open wound without a stitch maybe now you will understand  no matter how stable your foundation may seem everything is crashing down on me with paper cuts on finger tips blackened eyes and broken lips forever wounded its hard to tell  youre the only thing i need whether i fail or succeed within my blindness youre all i see the morning fog sun burns away a predators eye without its prey maybe now you will understand you might also like i wont quit on you no i wont quit on you i wont let it end ever ever ever ever,13
ode to the sun,0.05,0.08,0.12,0.32,0.12,0.36,None,Dredg,Catch Without Arms,but ill move those clouds away letting the sun shine through in this ode to you let the demons have their place if so its angels youll create and disguised within the dark light will wait my heart i owe you my soul will you please accept please accept this honor this is all for you transcend we flip towards the sun wheels skidding on the road a flowing sea of red the whole city groans my heart i owe you my soul you might also likewill you please accept please accept this honor this is all for you transcend will you please accept please accept its over this is all for you transcend fiasco rubberneck passing motorists a mangled tuna can car rests repair this tattered skin hold it in your hand youve already glistened through the window youve already set us all free free please accept please accept this honor this is all for you transcend will you please accept please accept its over this is all for you transcend fiasco,1
same ol' road,0,0.12,0,0.17,0.21,0.5,None,Dredg,El Cielo,down that same old road again sympathy unfolds the shell that holds all the beauty within here we go down that same old road again a memory a regret a hope here we go down that same old road again empathy controls the wind that blows and tickles our skin a memory a regret a hope a stimulus recent it seems we must push on we must push on though we bleed we must push on we must push on you might also likeall you need is a modest house in a modest neighborhood in a modest town where honest people dwell making the cleanest energy for the greenest plants to grow the richest soil that is drenched with the freshest rain then you should sit in your backyard watch clouds peak over the tallest mountain tops cause they unveil honest opinions about the stars we must push on we must push on recent it seems we must push on we must push on though we bleed we must push on we must push on all you need is a modest house in a modest neighborhood,2
convalescent,0.15,0.09,0.09,0.27,0.18,0.36,None,Dredg,El Cielo,resting gray hairs on wrinkled arms with nothing but a stool to hold up his back skinny legs with japanese mileage crossed at the ankles hes unaware maybe youve never seen it maybe youve never been through it its the only way to understand it unaware of his surroundings youth it passed swarming like wolves to a fresh kill the scent attracts hes just scared about dying maybe youve never seen it maybe youve never been through it its the only way to understand it save your clever statements brave your severed view of it its the only way to understand it to believe that to think back to realize that those sad days have come to an end where are those where they all have been gone you might also likemaybe youve never seen it maybe youve never been through it its the only way to understand it save your clever statements brave yourself if you want in its the only way to understand it to understand it,3
information,0.26,0.02,0.05,0.4,0.21,0.31,None,Dredg,"The Pariah, the Parrot, the Delusion",youre suffering i feel your pain allow me to be your sponge cause i can absorb your sorrows im the one fire may rain down on you but ill be your water waves may crash on you but ill be your land cause i want to give you just a temporary bliss  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it  so shed your pain well ill sit in silence as you bleed your deepest feelings here feelings here quakes may rattle you but ill be your sky sky winds may twist around you but ill be your clouds  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it no i dont need it you might also like he woke up next to her his head against her head his hand upon her breast he knew today meant death he kissed her on the cheek and then on her lips thought to himself: its the last time ill do this put on a suit pressed and clean then brushed his hair grabbed his keys then he headed out to the morning air with an anticipation no man could bear  the air was heavy he could feel it in his lungs with every step he took a prayer rolled off his tongue they were prayers of forgiveness and prayers of praise and his actions a gift for a god without a name  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it no i dont need it,4
sang real,0.28,0.2,0.07,0.33,0.13,0.27,None,Dredg,Catch Without Arms,im the lawyer in the tower im the body with the coroner no the leader with all the power youre the pillow the cool side the sand during high tide the cocktail poolside the water when clouds collide from the inside out we were formed and from the inside out we will fall soon this all will come to an end im a local but a foreigner still the addict yet im sober still the body with the coroner many friends yet still a loner youre the pillow the cool side the sand during high tide the cocktail poolside the water when clouds collide from the inside out we were formed and from the inside out we will fall soon this all will come to an end soon this all will come to an endyou might also like,5
whoa is me,0.3,0,0.04,0.52,0.16,0.28,None,Dredg,El Cielo,are the circular memories infect your conscience they are the make up of your worries regrets and doubts elective betrayal of your person radiates confidence shine with silence and shadow the ones below this drought is leaving me with cracked soil and brown leaves floating on a dry lake bed with a dry mouth and a foggy head waiting for the snow when the water comes i will overflow i will overflow and when the water comes i will overflow theres one more thing i forgot to tell you worries and doubts will only help you in the long run youll shadow the ones below you might also likethis drought is leaving me with cracked soil and brown leaves floating on a dry lake bed with a dry mouth and a foggy head waiting for the snow when the water comes i will overflow i will overflow and when the water comes i will overflow,6
